User,Book,Rating,Title,Description,created_at
Veronica Morgan,Ringworld,4,A tale of intrigue... but not in the way it sounds,"The entire time I was reading this book I kept thinking to myself ""what an intriguing concept"". It's just interesting and so very different from most sci-fi books I've read before. The author really handles alien concepts in an alien way. At times you'll relate or understand but more often you just go ""huh... interesting"". I really enjoyed it but it took me a little while to truly get engrossed in it, probably because of how unique and alien the ideas in it are. I highly recommend it just for the experience of it.",20190324114201
Chris Cobb,Ringworld,4,Fabulous!,"Being an engineer by nature, and by training (10 yrs at MIT), when I read this book (in the 1970s) I went supernova. Massive engineering on an unimaginable scale, made real by Niven.",20190309184207
Hattie Le,Ringworld,5,Outstanding book!,"The plot makes sense and the twist in the end is interesting. Niven isn't the best writer out there, but his ideas are outstanding. Hard sci-fi is hard to come by and this one is a classic. Well worth a read. (Now, unfortunately, I cannot say that for the two following novels in the Ringworld saga, but the ""... Of Worlds"" series kinda makes up for it.) I've dreamt of what it would be like to live on the Ringworld; Engineers comes as close as I can think.",20190309124507
Lukas Bentley,The Goliath Stone,5,I enjoyed everything about this book,The banter of the characters managed to include almost every major sci-fi writer. Many times I would just start chuckling when I got the author that had been alluded to in the dialogue. My friends thought I was crazy when they would ask why I was laughing for no reason. That wasn't made easy with when I would have to explain about putting a fish in someone's ear. It is probable that I missed many authors that were alluded to but it was fun just the same. I've been a sci-fi fan for fifty years so this book was like a trip down memory lane. Buy it now as it is worth your time.,20190304132507
Natalia Morton,The Goliath Stone,4,Settle back and enjoy,"There are many references to other Sci-Fi masters and reminds me a bit of Fallen Angels in the tone, and a tribute to Heinlein. Niven writes 'hard science' fiction. Like Fallen Angles, the suspense shouldn't be taken too seriously or you will miss the pokes made about pseudo-science in society. Like Cussler's Dirk Pitt novels, just settle back and enjoy the read without trying to peer too deep into meaning.",20190214132507
Lee John,The Goliath Stone,3,Not Niven's best stuff,"This is a quick read about what's become very common—tiny, self-replicating technology. It's full of implausibilities (If they can do that, why not this?) but it's told fast and well with some fascinating characters in a future, scary police-state type world. The problem is that the authors seemed to want to insert every character and crazy ability they've had on their shelves, and it gets to the comic book stage too quickly.",20190104032507
Jasmine Skinner,"I, Robot",5,Robot short stories from the master himself,"Each one in this anthology is groundbreaking and contributed greatly to how robots are depicted today, and indeed may contribute to how we develop ones with current real-world science. The Three Laws are absolute in robot fiction and here's where it all started. Each story shines a new light on the topic while each one is engaging and interesting. Top notch scifi from the man who practically invented the robot story.",20190216073507
Serena Pierce,"I, Robot",3,Fantastic concept for a book,"A series of short stories centered around the impact of the three laws.The details and characters are dated, and anyway, glossed over or not very interesting. The main thing I enjoyed other than the central premise is getting a view into the preoccupations and vices of the 1950s (communism, atomic bombs, smoking, male-centrism) projected into the future. Oh, and he totally failed to predict the rise of China... he has the asians eating from vats!",20190218083607
Josie Orozco,"I, Robot",1,Disappointing,"The premise is that humans create machines that are more perfect than their creators. Somehow the same ethical problems that face humanity are more easily solved by a machine than a human by removing self interest. Sounds a bit like a machine can be successful at implementing Marx’s “From each according to his ability, to each according to his needs”. I was very disappointed in this book and this author.",20190119093607
Spencer Mcgrath,The Man in the High Castle,3,Slow Read,"I love science fiction, but this alternate history is a slow read. I think I'll give it a second read, now that I have the characters sorted out. If you like PKD, you will probably like this. But if you are looking for an alternative history with some real thought-provoking dialogue and plots, this is SLOW and rather unsatisfying. Is it worth reading? Yes. It plods along but with every page turn you hope something unpredictable will happen. It only gets interesting at the end. You may have a different opinion, and will never know until you read it. I don't regret buying and reading it. It was just a bit disappointing.",20190218103607
